"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MW1","REM","EQD"
"67979099999","2023-03-09T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","270,1,N,0005,1","99999,9,C,N","030000,1,9,9","+0275,1","+0170,1","99999,9",,,,"02,1,+00960,1,08,1","04,1,+09000,1,00,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00960,1,99,9,99,9",,,"SYN07067979 42680 42701 10275 20170 3//// 48/// 82101 333 5//// 82832 84080=","Q01 090003SCOCIG"
"67979099999","2023-03-09T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","200,1,N,0015,1","22000,1,9,N","030000,1,9,9","+0287,1","+0150,1","99999,9",,,,"03,1,+09000,1,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,09000,1,99,9,99,9",,,"SYN06467979 42980 32003 10287 20150 3//// 48/// 80001 333 5//// 83080=",
"67979099999","2023-03-10T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","180,1,N,0021,1","02400,1,C,N","030000,1,9,9","+0270,1","+0182,1","99999,9",,,,"05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 51804 10270 20182 38/// 48/// 85030 333 5//// 85358=",
"67979099999","2023-03-15T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","140,1,N,0021,1","99999,9,C,N","030000,1,9,9","+0258,1","+0180,1","99999,9",,,,"03,1,+01260,1,06,1","04,1,+02400,1,03,1",,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,01260,1,99,9,99,9",,,"SYN07067979 42680 41404 10258 20180 3//// 48/// 83530 333 5//// 83642 84358=","Q01 024003SCOCIG"
"67979099999","2023-03-22T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","340,1,N,0010,1","22000,1,9,N","030000,1,9,9","+0280,1","+0185,1","99999,9",,,,"03,1,+01020,1,08,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,01020,1,99,9,99,9",,,"SYN06467979 42680 33402 10280 20185 3//// 48/// 83130 333 5//// 83834=",
"67979099999","2023-03-27T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","180,1,N,0026,1","00540,1,C,N","020000,1,9,9","+0216,1","+0200,1","99999,9",,"5,1,02,1","2,1,02,1","08,1,+00540,1,06,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00540,1,99,9,99,9",,"50,1","SYN07067979 41470 81805 10216 20200 3//// 48/// 75052 885// 333 5//// 88618=",
"67979099999","2023-04-03T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0015,1","22000,1,9,N","030000,1,9,9","+0272,1","+0169,1","99999,9",,,,"03,1,+01020,1,06,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,01020,1,99,9,99,9",,,"SYN06467979 42680 31303 10272 20169 3//// 48/// 83500 333 5//// 83634=",
"67979099999","2023-04-11T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","210,1,N,0005,1","02400,1,C,N","030000,1,9,9","+0221,1","+0184,1","99999,9",,,,"05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 52101 10221 20184 3//// 48/// 85030 333 5//// 85358=",
"67979099999","2023-04-13T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","190,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0270,1","+0146,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01902 10270 20146 3//// 48/// 333 5////=",
"67979099999","2023-04-24T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","150,1,N,0021,1","22000,1,9,N","020000,1,9,9","+0230,1","+0170,1","99999,9",,"2,1,02,1","2,1,02,1","04,1,+00780,1,06,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00780,1,99,9,99,9",,"05,1","SYN07067979 41570 41504 10230 20170 3//// 48/// 70522 84500 333 5//// 84626=",
"67979099999","2023-04-24T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0015,1","99999,9,9,N","030000,1,9,9","+0259,1","+0170,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01303 10259 20170 38/// 48/// 333 5////=",
"67979099999","2023-04-27T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","210,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0267,1","+0159,1","99999,9",,,,,,,,,,,"SYN05267979 42980 02102 10267 20159 3//// 48/// 333 5////=",
"67979099999","2023-04-28T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0015,1","99999,9,9,N","030000,1,9,9","+0290,1","+0131,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01303 10290 20131 38/// 48/// 333 5////=",
"67979099999","2023-04-29T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0015,1","99999,9,9,N","030000,1,9,9","+0262,1","+0065,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01303 10262 20065 3//// 48/// 333 5////=",
"67979099999","2023-04-29T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0256,1","+0056,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01302 10256 20056 38/// 48/// 333 5////=",
"67979099999","2023-05-03T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0026,1","99999,9,9,N","030000,1,9,9","+0261,1","+0100,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01205 10261 20100 3//// 48/// 333 5////=",
"67979099999","2023-05-04T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0252,1","+0119,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01302 10252 20119 3//// 48/// 333 5////=",
"67979099999","2023-05-04T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","140,1,N,0015,1","99999,9,9,N","030000,1,9,9","+0252,1","+0085,1","99999,9",,,,,,,,,,,"SYN05267979 42980 01403 10252 20085 3//// 48/// 333 5////=",
"67979099999","2023-05-08T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","090,1,N,0021,1","22000,1,9,N","030000,1,9,9","+0252,1","+0130,1","99999,9",,,,"02,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 20904 10252 20130 3//// 48/// 82030 333 5//// 82358=",
