"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"12960099999","2023-01-02T14:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0149,1","+0088,1","10244,1",,,,,"99999,9,10109,1","6,1,018,1,+999,9",,,"SYN05812960 46/// /1702 10149 20088 30109 40244 56018 555 10067=",
"12960099999","2023-01-02T15:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0133,1","+0084,1","10245,1",,,,,"99999,9,10109,1","6,1,010,1,+999,9",,,"SYN05812960 46/// /1702 10133 20084 30109 40245 56010 555 10072=",
"12960099999","2023-01-02T16:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0107,1","+0079,1","10245,1",,,,,"99999,9,10108,1","7,1,004,1,+999,9",,,"SYN05812960 46/// /1601 10107 20079 30108 40245 57004 555 10083=",
"12960099999","2023-01-02T17:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0081,1","+0064,1","10249,1",,,,,"99999,9,10110,1","2,1,001,1,+999,9",,,"SYN05812960 46/// /0901 10081 20064 30110 40249 52001 555 10089=",
"12960099999","2023-01-02T18:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0066,1","+0057,1","10251,1",,,"120,M,+0157,1",,"99999,9,10112,1","3,1,003,1,+999,9",,,"SYN06812960 36/// /0000 10066 20057 30112 40251 53003 333 10157 555 10094=",
"12960099999","2023-01-02T19:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0074,1","+0063,1","10251,1",,,,,"99999,9,10112,1","1,1,004,1,+999,9",,,"SYN05812960 46/// /1301 10074 20063 30112 40251 51004 555 10093=",
"12960099999","2023-01-02T20:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0050,1","+0044,1","10254,1",,,,,"99999,9,10114,1","2,1,004,1,+999,9",,,"SYN05812960 46/// /0000 10050 20044 30114 40254 52004 555 10096=",
"12960099999","2023-01-02T21:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0052,1","+0046,1","10256,1",,,,,"99999,9,10116,1","3,1,004,1,+999,9",,,"SYN05812960 46/// /0000 10052 20046 30116 40256 53004 555 10096=",
"12960099999","2023-01-02T22:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0052,1","+0049,1","10257,1",,,,,"99999,9,10117,1","1,1,005,1,+999,9",,,"SYN05812960 46/// /0000 10052 20049 30117 40257 51005 555 10098=",
"12960099999","2023-01-02T23:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0070,1","+0066,1","10260,1",,,,,"99999,9,10121,1","2,1,007,1,+999,9",,,"SYN05812960 46/// /1702 10070 20066 30121 40260 52007 555 10097=",
"12960099999","2023-01-03T00:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","220,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0063,1","+0057,1","10261,1",,,,,"99999,9,10121,1","2,1,005,1,+999,9",,,"SYN05812960 36/// /2201 10063 20057 30121 40261 52005 555 10096=",
"12960099999","2023-01-03T01:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0041,1","+0040,1","10262,1",,,,,"99999,9,10121,1","1,1,004,1,+999,9",,,"SYN05812960 46/// /0000 10041 20040 30121 40262 51004 555 10099=",
