"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"17070099999","2023-01-03T16:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0056,1","-0027,1","10272,1",,,,,,,,,,,,,,,,,"99999,9,09374,1","3,1,001,1,+999,9",,,,"SYN04817070 42965 00000 10056 21027 39374 40272 53001=",
"17070099999","2023-01-03T17:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0036,1","-0027,1","10279,1",,,,,,,,,,,,,,,,,"99999,9,09377,1","3,1,005,1,+999,9",,,,"SYN04817070 42965 00000 10036 21027 39377 40279 53005=",
"17070099999","2023-01-03T18:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0023,1","-0023,1","10286,1","12,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09381,1","2,1,009,1,+999,9",,,,"SYN06417070 12965 00000 10023 21023 39381 40286 52009 60002 333 10127=",
"17070099999","2023-01-03T21:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0009,1","-0040,1","10279,1",,,,,,,,,,,,,,,,,"99999,9,09382,1","3,1,001,1,+999,9",,,,"SYN04817070 42965 00000 11009 21040 39382 40279 53001=",
"17070099999","2023-01-04T00:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0022,1","-0047,1","10265,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09379,1","5,1,003,1,+999,9",,,,"SYN05417070 12965 00000 11022 21047 39379 40265 55003 60001=",
"17070099999","2023-01-04T03:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0033,1","-0054,1","10269,1",,,,,,,,,,,,,,,,,"99999,9,09374,1","8,1,005,1,+999,9",,,,"SYN04817070 42965 00000 11033 21054 39374 40269 58005=",
"17070099999","2023-01-04T06:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0034,1","-0055,1","10280,1","12,0000,9,1",,,,,,,,,,,,,,,"240,N,-0044,1","99999,9,09376,1","1,1,002,1,+999,9",,,,"SYN08217070 12965 00000 11034 21055 39376 40280 51002 60002 333 21044 34109 55062 20846=",
"17070099999","2023-01-04T07:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0032,1","-0059,1","10283,1",,,,,,,,,,,,,,,,,"99999,9,09378,1","2,1,003,1,+999,9",,,,"SYN04817070 42965 00000 11032 21059 39378 40283 52003=",
"17070099999","2023-01-04T08:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0010,1","-0048,1","10279,1",,,,,,,,,,,,,,,,,"99999,9,09379,1","3,1,003,1,+999,9",,,,"SYN04817070 42965 00000 10010 21048 39379 40279 53003=",
"17070099999","2023-01-04T09:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0031,1","-0048,1","10272,1",,,,,,,,,,,,,,,,,"99999,9,09374,1","8,1,002,1,+999,9",,,"3,99,0010,1,999","SYN05817070 42965 09901 10031 21048 39374 40272 58002 333 91102=",
"17070099999","2023-01-04T10:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","015000,1,9,9","+0060,1","-0051,1","10257,1",,,,,,,,,,,,,,,,,"99999,9,09364,1","8,1,014,1,+999,9",,,,"SYN04817070 42965 01201 10060 21051 39364 40257 58014=",
"17070099999","2023-01-04T11:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0078,1","-0044,1","10244,1",,,,,,,,,,,,,,,,,"99999,9,09355,1","7,1,024,1,+999,9",,,,"SYN04817070 42965 00000 10078 21044 39355 40244 57024=",
"17070099999","2023-01-04T12:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0099,1","-0018,1","10238,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09352,1","7,1,022,1,+999,9",,,"3,99,0015,1,999","SYN06417070 12965 09901 10099 21018 39352 40238 57022 60001 333 91103=",
"17070099999","2023-01-04T13:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0096,1","-0003,1","10240,1",,,,,,,,,,,,,,,,,"99999,9,09353,1","5,1,011,1,+999,9",,,,"SYN04817070 42965 09901 10096 21003 39353 40240 55011=",
"17070099999","2023-01-04T14:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","015000,1,9,9","+0068,1","-0006,1","10250,1",,,,,,,,,,,,,,,,,"99999,9,09357,1","3,1,002,1,+999,9",,,,"SYN04817070 42965 01802 10068 21006 39357 40250 53002=",
"17070099999","2023-01-04T15:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0055,1","-0005,1","10258,1",,,,,,,,,,,,,,,,,"99999,9,09361,1","2,1,009,1,+999,9",,,"3,99,0036,1,999","SYN05817070 42965 09901 10055 21005 39361 40258 52009 333 91107=",
"17070099999","2023-01-04T16:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0042,1","+0001,1","10270,1",,,,,,,,,,,,,,,,,"99999,9,09370,1","2,1,017,1,+999,9",,,,"SYN04817070 42965 09901 10042 20001 39370 40270 52017=",
"17070099999","2023-01-04T17:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0034,1","+0000,1","10276,1",,,,,,,,,"05,1,+01250,1,06,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,01250,1,99,9,99,9",,,,"99999,9,09374,1","2,1,017,1,+999,9",,,,"SYN05417070 42665 50000 10034 20000 39374 40276 52017 85400=",
"17070099999","2023-01-04T18:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","01020,1,C,N","015000,1,9,9","+0031,1","+0004,1","10275,1","12,0000,9,1",,,,,,,,"06,1,+01020,1,06,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,01020,1,99,9,99,9",,,"120,M,+0111,1","99999,9,09373,1","9,9,012,1,+999,9",,,"3,99,0036,1,999","SYN08217070 12665 60000 10031 20004 39373 40275 50012 60002 86400 333 10111 86634 91107=",
"17070099999","2023-01-04T21:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","06000,1,9,N","015000,1,9,9","+0003,1","-0011,1","10271,1",,,,,,,,,"06,1,+06000,1,02,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,06000,1,99,9,99,9",,,,"99999,9,09375,1","2,1,002,1,+999,9",,,"3,99,0010,1,999","SYN07017070 42965 60000 10003 21011 39375 40271 52002 80008 333 86270 91102=",
"17070099999","2023-01-05T00:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","06000,1,9,N","015000,1,9,9","+0012,1","-0005,1","10254,1","06,0000,9,1",,,,,,,,"07,1,+06000,1,02,1",,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,06000,1,99,9,99,9",,,,"99999,9,09372,1","5,1,003,1,+999,9",,,"3,99,0015,1,999","SYN07617070 12965 70000 10012 21005 39372 40254 55003 60001 80008 333 87270 91103=",
