"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","REM","EQD"
"43272099999","2023-05-27T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0260,1","+0201,1","99999,9",,,,,,,,"240,M,+0326,1","240,N,+0216,1","99999,9,09170,1","9,9,999,9,-016,1","3,1520,9","SYN07443272 32997 02302 10260 20201 39170 48520 333 10326 20216 59016 555 10191=",
"43272099999","2023-05-28T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0264,1","+0202,1","99999,9",,,,,,,,"240,M,+0332,1","240,N,+0218,1","99999,9,09165,1","9,9,999,9,-005,1","3,1517,9","SYN07443272 32997 03201 10264 20202 39165 48517 333 10332 20218 59005 555 10191=",
"43272099999","2023-05-30T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0282,1","+0206,1","99999,9",,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0341,1","240,N,+0219,1","99999,9,09162,1",,"3,1519,9","SYN08643272 32595 62302 10282 20206 39162 48519 83632 333 10341 20219 56299 58007 555 10191=",
"43272099999","2023-06-02T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0250,1","+0215,1","99999,9",,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0326,1","240,N,+0228,1","99999,9,09165,1",,"3,1513,9","SYN08043272 32595 82302 10250 20215 39165 48513 83742 333 10326 20228 56799 555 10000=",
"43272099999","2023-06-03T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0015,1","99999,9,9,N","002000,1,9,9","+0252,1","+0217,1","99999,9",,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0332,1","240,N,+0225,1","99999,9,09164,1",,"3,1514,9","SYN08643272 32595 63203 10252 20217 39164 48514 83632 333 10332 20225 56299 59001 555 10000=",
"43272099999","2023-06-08T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0250,1","+0206,1","99999,9",,,,,,,,"240,M,+0331,1","240,N,+0223,1","99999,9,09143,1","9,9,999,9,-002,1","3,1492,9","SYN07443272 32997 03203 10250 20206 39143 48492 333 10331 20223 59002 555 10000=",
"43272099999","2023-06-09T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0252,1","+0226,1","99999,9","24,0060,3,1",,,,,,,"240,M,+0344,1","240,N,+0203,1","99999,9,09140,1","9,9,999,9,-003,1","3,1492,9","SYN08643272 22997 02303 10252 20226 39140 48492 333 10344 20203 59003 6006/ 555 00060 10006=",
"43272099999","2023-06-10T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","010000,1,9,9","+0250,1","+0206,1","99999,9",,,,,,,,"240,M,+0337,1","240,N,+0209,1","99999,9,09126,1","9,9,999,9,-014,1","3,1476,9","SYN07443272 32997 02305 10250 20206 39126 48476 333 10337 20209 59014 555 10006=",
"43272099999","2023-06-11T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0254,1","+0207,1","99999,9",,,,,,,,"240,M,+0342,1","240,N,+0213,1","99999,9,09131,1","9,9,999,9,+005,1","3,1483,9","SYN07443272 32997 02303 10254 20207 39131 48483 333 10342 20213 58005 555 10006=",
"43272099999","2023-06-14T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0252,1","+0220,1","99999,9","24,0010,3,1",,,,,,,"240,M,+0335,1","240,N,+0209,1","99999,9,09145,1","9,9,999,9,+009,1","3,1496,9","SYN08643272 32997 02303 10252 20220 39145 48496 333 10335 20209 58009 6001/ 555 00010 10007=",
"43272099999","2023-06-16T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0256,1","+0218,1","99999,9",,,,,,,,"240,M,+0332,1","240,N,+0213,1","99999,9,09148,1","9,9,999,9,-006,1","3,1499,9","SYN07443272 32997 02302 10256 20218 39148 48499 333 10332 20213 59006 555 10007=",
"43272099999","2023-06-17T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0256,1","+0221,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0216,1","99999,9,09143,1","9,9,999,9,-005,1","3,1494,9","SYN07443272 32997 02303 10256 20221 39143 48494 333 10341 20216 59005 555 10007=",
"43272099999","2023-06-18T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0252,1","+0220,1","99999,9",,,"06,1,+00800,1,09,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,06,1,99,9,00800,1,99,9,99,9","240,M,+0343,1","240,N,+0218,1","99999,9,09137,1",,"3,1489,9","SYN08643272 32595 73202 10252 20220 39137 48489 86332 333 10343 20218 56299 59006 555 10007=",
"43272099999","2023-06-20T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0202,1","+0190,1","99999,9","24,0380,3,1",,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0311,1","240,N,+0193,1","99999,9,09136,1",,"3,1478,9","SYN09843272 22595 82302 10202 20190 39136 48478 83742 333 10311 20193 56999 58008 6038/ 555 00382 10045=",
