"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","MW3","REM","EQD"
"47107499999","2023-01-04T08:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0046,1","22000,1,9,N","009999,1,9,9","+0010,1","-0210,1","10273,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10267,1,99999,9",,,,"MET063METAR RKNO 0855Z 26009KT 9999 SKC 01/M21 A3032 RMK SLP273 LAST=",
"47107499999","2023-01-04T21:05:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0000,5","-0160,5","10289,1",,,,,,,,"10281,5,99999,9",,,,"MET069METAR RKNO 2105Z 26010G018KT 9999 SKC M00/M16 A3036 RMK SLP289 FIRST=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-04T21:17:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0051,1","22000,1,9,N","009999,1,9,9","+0000,1","-0160,1","10289,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10281,1,99999,9",,,,"MET065METAR RKNO 2117Z 26010KT 9999 SKC M00/M16 A3036 RMK SLP289 FIRST=",
"47107499999","2023-01-04T21:56:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0031,1","22000,1,9,N","009999,1,9,9","+0000,1","-0150,1","10291,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10284,1,99999,9",,,,"MET058METAR RKNO 2156Z 25006KT 9999 SKC 00/M15 A3037 RMK SLP291=",
"47107499999","2023-01-04T22:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0000,1","-0160,1","10290,1",,,"02,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,07620,1,99,9,99,9","10284,1,99999,9",,,,"MET073METAR RKNO 2255Z 26009KT 9999 FEW250 00/M16 A3037 RMK SLP290 8/008 9/001=",
"47107499999","2023-01-05T00:02:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0020,5","-0150,5","10293,1",,,"99,9,+99999,9,02,1",,,"9,AGL   ,+99999,+99999",,"10288,5,99999,9",,,,"MET077METAR RKNO 0002Z 27010G021KT 9999 FEW250 02/M15 A3038 RMK SLP293 8/008 9/001=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-05T00:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0030,5","-0150,5","10289,1",,,"99,9,+99999,9,02,1",,,"9,AGL   ,+99999,+99999",,"10284,5,99999,9",,,,"MET092METAR RKNO 0055Z 25012G025KT 9999 FEW250 03/M15 A3037 RMK PK WND 2627/12 SLP289 8/008 9/001=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-05T01:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0040,5","-0160,5","10291,1",,,"99,9,+99999,9,02,1",,,"9,AGL   ,+99999,+99999",,"10284,5,99999,9",,,,"MET077METAR RKNO 0155Z 26013G026KT 9999 FEW250 04/M16 A3037 RMK SLP291 8/008 9/001=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-05T02:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0051,1","22000,1,9,N","009999,1,9,9","+0050,1","-0150,1","10280,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10274,1,99999,9",,,,"MET073METAR RKNO 0255Z 26010KT 9999 SKC 05/M15 A3034 RMK PK WND 2629/09 SLP280=",
"47107499999","2023-01-05T03:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0050,5","-0150,5","10269,1",,,,,,,,"10268,5,99999,9",,,,"MET069METAR RKNO 0355Z 27010G021KT 9999 SKC 05/M15 A3032 RMK PK WND SLP269=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-05T04:59:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0050,5","-0160,5","10265,1",,,,,,,,"10261,5,99999,9",,,,"MET062METAR RKNO 0459Z 26008G018KT 9999 SKC 05/M16 A3030 RMK SLP265=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-05T05:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","280,1,N,0026,1","22000,1,9,N","009999,1,9,9","+0050,1","-0160,1","10267,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9",,,,"MET058METAR RKNO 0555Z 28005KT 9999 SKC 05/M16 A3030 RMK SLP267=",
