"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AY1","AY2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"02821099999","2023-01-03T13:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","075,1,N,0080,1","99999,9,9,9","000580,1,9,9","-0089,1","-0097,1","10168,1","78,1",,,,,"99999,9,09462,1",,,"0101,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T14:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","062,1,N,0070,1","99999,9,9,9","000890,1,9,9","-0092,1","-0100,1","10178,1","78,1",,,,,"99999,9,09470,1",,,"0084,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T15:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","062,1,N,0067,1","99999,9,9,9","006350,1,9,9","-0099,1","-0108,1","10191,1","24,1","7,1,99,9","2,1,99,9",,,"99999,9,09480,1","2,1,025,1,+999,9",,"0082,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T16:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","061,1,N,0070,1","99999,9,9,9","020550,1,9,9","-0109,1","-0121,1","10200,1","00,1",,,,,"99999,9,09486,1",,,"0086,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T17:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","054,1,N,0055,1","99999,9,9,9","033730,1,9,9","-0115,1","-0126,1","10208,1","00,1",,,,,"99999,9,09492,1",,,"0063,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T18:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","055,1,N,0063,1","99999,9,9,9","031480,1,9,9","-0117,1","-0130,1","10215,1","00,1","7,1,99,9","2,1,99,9","120,M,-0088,1","120,N,-0138,1","99999,9,09498,1","2,1,018,1,+999,9",,"0072,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T19:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","060,1,N,0071,1","99999,9,9,9","035200,1,9,9","-0117,1","-0129,1","10220,1","00,1",,,,,"99999,9,09503,1",,,"0079,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T20:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","054,1,N,0075,1","99999,9,9,9","037410,1,9,9","-0119,1","-0130,1","10226,1","00,1",,,,,"99999,9,09508,1",,,"0083,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T21:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","050,1,N,0081,1","99999,9,9,9","035990,1,9,9","-0119,1","-0131,1","10230,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09512,1","2,1,014,1,+999,9",,"0094,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T22:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","042,1,N,0075,1","99999,9,9,9","036180,1,9,9","-0120,1","-0133,1","10237,1","00,1",,,,,"99999,9,09517,1",,,"0093,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T23:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","034,1,N,0073,1","99999,9,9,9","036910,1,9,9","-0120,1","-0132,1","10242,1","00,1",,,,,"99999,9,09522,1",,,"0094,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T00:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","035,1,N,0071,1","99999,9,9,9","027530,1,9,9","-0119,1","-0131,1","10243,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09523,1","2,1,011,1,+999,9",,"0081,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T01:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","029,1,N,0076,1","99999,9,9,9","035920,1,9,9","-0114,1","-0124,1","10246,1","00,1",,,,,"99999,9,09527,1",,,"0093,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T02:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","023,1,N,0081,1","99999,9,9,9","026650,1,9,9","-0109,1","-0119,1","10247,1","00,1",,,,,"99999,9,09530,1",,,"0100,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T03:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","019,1,N,0076,1","99999,9,9,9","037240,1,9,9","-0099,1","-0109,1","10245,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09530,1","2,1,007,1,+999,9",,"0091,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T04:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","021,1,N,0078,1","99999,9,9,9","040770,1,9,9","-0100,1","-0111,1","10245,1","00,1",,,,,"99999,9,09530,1",,,"0092,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-04T05:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","021,1,N,0085,1","99999,9,9,9","032000,1,9,9","-0102,1","-0112,1","10248,1","00,1",,,,,"99999,9,09533,1",,,"0106,1","3,99,9999,9,999","SYN004BUFR",
