"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-07-15T09:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0181,1","+0181,1","09962,1","8,1,008,1,+999,9","SYN06603380 15094 99536 10001 46/// /19// 10181 20181 49962 58008 22200=",
"03396199999","2023-07-15T10:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0189,1","+0189,1","09958,1","7,1,011,1,+999,9","SYN06603380 15104 99536 10001 46/// /20// 10189 20189 49958 57011 22200=",
"03396199999","2023-07-15T11:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0190,1","+0190,1","09954,1","7,1,013,1,+999,9","SYN06603380 15114 99536 10001 46/// /19// 10190 20190 49954 57013 22200=",
"03396199999","2023-07-15T12:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0201,1","+9999,9","09946,1","7,1,016,1,+999,9","SYN06603380 15124 99536 10001 46/// /19// 10201 20212 49946 57016 22200=","Q0121.2  2ATOD  "
"03396199999","2023-07-15T13:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0159,1","+9999,9","09944,1","8,1,013,1,+999,9","SYN06603380 15134 99536 10001 46/// /22// 10159 20162 49944 58013 22200=","Q0116.2  2ATOD  "
"03396199999","2023-07-15T14:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0197,1","+9999,9","09945,1","5,1,009,1,+999,9","SYN06603380 15144 99536 10001 46/// /20// 10197 20200 49945 55009 22200=","Q0120    2ATOD  "
"03396199999","2023-07-15T15:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0203,1","+0119,1","09941,1","8,1,005,1,+999,9","SYN06603380 15154 99536 10001 46/// /19// 10203 20119 49941 58005 22200=",
"03396199999","2023-07-15T16:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0199,1","+0119,1","09938,1","7,1,006,1,+999,9","SYN06603380 15164 99536 10001 46/// /20// 10199 20119 49938 57006 22200=",
"03396199999","2023-07-15T17:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0202,1","+0118,1","09940,1","5,1,005,1,+999,9","SYN06603380 15174 99536 10001 46/// /21// 10202 20118 49940 55005 22200=",
"03396199999","2023-07-15T18:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0191,1","+0117,1","09943,1","3,1,002,1,+999,9","SYN06603380 15184 99536 10001 46/// /21// 10191 20117 49943 53002 22200=",
