"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM"
"48699099999","2023-01-02T08:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0062,1","09144,1,9,N","009999,1,9,9","+0310,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10090,1,99999,9",,,,"MET058METAR WSSL 020800Z 02012KT 9999 FEW018 BKN300 31/22 Q1009="
"48699099999","2023-01-02T09:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0062,1","08230,1,9,N","009999,1,9,9","+0300,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08230,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10090,1,99999,9",,,,"MET058METAR WSSL 020900Z 02012KT 9999 FEW018 BKN270 30/23 Q1009="
"48699099999","2023-01-02T10:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0051,1","08230,1,9,N","009999,1,9,9","+0290,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08230,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10090,1,99999,9",,,,"MET058METAR WSSL 021000Z 02010KT 9999 FEW018 BKN270 29/23 Q1009="
"48699099999","2023-01-02T11:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,V,0036,1","08230,1,9,N","009999,1,9,9","+0290,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08230,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10100,1,99999,9",,,,"MET066METAR WSSL 021100Z 36007KT 320V030 9999 FEW018 BKN270 29/22 Q1010="
"48699099999","2023-01-02T12:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,V,0041,1","08534,1,9,N","009999,1,9,9","+0280,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08534,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET066METAR WSSL 021200Z 02008KT 340V040 9999 FEW018 BKN280 28/23 Q1011="
"48699099999","2023-01-02T13:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,V,0041,1","08534,1,9,N","009999,1,9,9","+0270,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08534,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 021300Z 02008KT 340V040 9999 FEW018 BKN280 27/23 Q1012="
"48699099999","2023-01-02T14:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,V,0015,1","08534,1,9,N","009999,1,9,9","+0270,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08534,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET066METAR WSSL 021400Z 35003KT 320V040 9999 FEW018 BKN280 27/23 Q1013="
"48699099999","2023-01-02T15:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0026,1","08534,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08534,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 021500Z 02005KT 9999 FEW018 BKN280 26/23 Q1013="
"48699099999","2023-01-02T16:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","999,9,V,0010,1","08534,1,C,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","04,1,+08534,1,99,9","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET065METAR WSSL 021600Z VRB02KT 9999 FEW018 SCT280 BKN300 26/23 Q1013="
"48699099999","2023-01-02T17:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","999,9,V,0005,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 021700Z VRB01KT 9999 FEW018 BKN300 26/23 Q1013="
"48699099999","2023-01-02T18:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,N,0010,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR WSSL 021800Z 36002KT 9999 FEW018 BKN300 26/23 Q1012="
"48699099999","2023-01-02T19:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 021900Z 35003KT 310V030 9999 FEW018 BKN300 26/23 Q1012="
"48699099999","2023-01-02T20:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET066METAR WSSL 022000Z 36003KT 330V030 9999 FEW018 BKN300 26/23 Q1011="
"48699099999","2023-01-02T21:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","999,9,V,0010,1","09144,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 022100Z VRB02KT 9999 FEW018 BKN300 25/23 Q1011="
"48699099999","2023-01-02T22:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 022200Z 35003KT 310V100 9999 FEW018 BKN300 25/23 Q1012="
"48699099999","2023-01-02T23:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 022300Z 36003KT 310V030 9999 FEW018 BKN300 25/23 Q1012="
"48699099999","2023-01-03T00:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","340,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 030000Z 34003KT 290V010 9999 FEW018 BKN300 26/23 Q1012="
"48699099999","2023-01-03T01:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","340,1,V,0021,1","04877,1,C,N","009999,1,9,9","+0270,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","04,1,+04877,1,99,9","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET073METAR WSSL 030100Z 34004KT 280V020 9999 FEW018 SCT160 BKN300 27/23 Q1013="
"48699099999","2023-01-03T02:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","340,1,V,0021,1","04877,1,C,N","009999,1,9,9","+0280,1","+0230,1","99999,9",,"04,1,+00549,1,99,9","04,1,+04877,1,99,9","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00549,1,99,9,99,9","10140,1,99999,9",,,,"MET073METAR WSSL 030200Z 34004KT 290V030 9999 SCT018 SCT160 BKN300 28/23 Q1014="
"48699099999","2023-01-03T03:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0046,1","09144,1,9,N","009999,1,9,9","+0300,1","+0230,1","99999,9",,"04,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 030300Z 02009KT 9999 SCT018 BKN300 30/23 Q1013="
"48699099999","2023-01-03T04:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0041,1","09144,1,9,N","009999,1,9,9","+0310,1","+0230,1","99999,9",,"04,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET066METAR WSSL 030400Z 01008KT 310V040 9999 SCT018 BKN300 31/23 Q1013="
"48699099999","2023-01-03T05:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,V,0036,1","09144,1,9,N","009999,1,9,9","+0310,1","+0220,1","99999,9",,"04,1,+00549,1,99,9","02,1,+00610,1,08,1","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET076METAR WSSL 030500Z 02007KT 340V060 9999 SCT018 FEW020TCU BKN300 31/22 Q1012="
"48699099999","2023-01-03T06:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0036,1","00610,1,C,N","009999,1,9,9","+0320,1","+0230,1","99999,9",,"02,1,+00549,1,08,1","04,1,+00610,1,99,9","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9","16,1",,,"MET081METAR WSSL 030600Z 01007KT 330V050 9999 VCSH FEW018TCU SCT020 BKN300 32/23 Q1011="
