"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","AW3","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"42080199999","2023-01-05T04:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0051,1","22000,1,9,N","002000,1,9,9","+0170,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET051METAR VABV 050400Z 36010KT 2000 FU NSC 17/10 Q1020=",
"42080199999","2023-01-05T06:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0051,1","22000,1,9,N","002000,1,9,9","+0190,1","+0110,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET057METAR VABV 050600Z 34010KT 2000 FU NSC 19/11 Q1019 NOSIG=",
"42080199999","2023-01-05T06:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0051,1","22000,1,9,N","002500,1,9,9","+0190,1","+0110,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET057METAR VABV 050630Z 34010KT 2500 FU NSC 19/11 Q1019 NOSIG=",
"42080199999","2023-01-05T07:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0057,1","22000,1,9,N","002500,1,9,9","+0200,1","+0120,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET057METAR VABV 050700Z 34011KT 2500 FU NSC 20/12 Q1018 NOSIG=",
"42080199999","2023-01-05T07:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0051,1","22000,1,9,N","002500,1,9,9","+0200,1","+0120,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET057METAR VABV 050730Z 34010KT 2500 FU NSC 20/12 Q1018 NOSIG=",
"42080199999","2023-01-05T09:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0057,1","22000,1,9,N","002500,1,9,9","+0220,1","+0120,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 050900Z 32011KT 2500 FU NSC 22/12 Q1016=",
"42080199999","2023-01-05T12:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0062,1","22000,1,9,N","002500,1,9,9","+0220,1","+0130,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9","04,1",,,,"MET051METAR VABV 051200Z 32012KT 2500 FU NSC 22/13 Q1015=",
"42080199999","2023-01-06T02:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","010,1,N,0026,1","99999,9,9,N","001500,1,9,9","+0180,1","+0140,1","99999,9",,,,"02,1,+02438,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10190,1,99999,9","05,1",,,,"MET054METAR VABV 060230Z 01005KT 1500 HZ FEW080 18/14 Q1019=",
"42080199999","2023-01-06T03:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","010,1,N,0031,1","99999,9,9,N","001500,1,9,9","+0190,1","+0140,1","99999,9",,,,"02,1,+02438,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10190,1,99999,9","05,1",,,,"MET054METAR VABV 060300Z 01006KT 1500 HZ FEW080 19/14 Q1019=",
"42080199999","2023-01-06T03:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","020,1,N,0026,1","99999,9,9,N","002000,1,9,9","+0200,1","+0150,1","99999,9",,,,"02,1,+02438,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10200,1,99999,9","05,1",,,,"MET054METAR VABV 060330Z 02005KT 2000 HZ FEW080 20/15 Q1020=",
"42080199999","2023-01-06T04:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","030,1,N,0031,1","99999,9,9,N","002000,1,9,9","+0200,1","+0150,1","99999,9",,,,"02,1,+02438,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10200,1,99999,9","05,1",,,,"MET054METAR VABV 060400Z 03006KT 2000 HZ FEW080 20/15 Q1020=",
