"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"80222599999","2023-01-14T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","009999,1,9,9","+0210,1","+0200,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 141100Z VRB02KT 9999 SCT090 21/20 Q1012 RMK A2989=",
"80222599999","2023-01-15T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0015,1","01829,1,C,N","009999,1,9,9","+0240,1","+0220,1","99999,9","07,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01829,1,99,9,99,9","10140,1,99999,9",,,,"MET061METAR SKSA 151200Z 33003KT 9999 BKN060 24/22 Q1014 RMK A2994=",
"80222599999","2023-01-16T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","01829,1,C,N","009999,1,9,9","+0230,1","+0210,1","99999,9","07,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01829,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 161100Z VRB02KT 9999 BKN060 23/21 Q1012 RMK A2989=",
"80222599999","2023-01-16T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","02134,1,C,N","009999,1,9,9","+0230,1","+0220,1","99999,9","07,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02134,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 161200Z VRB02KT 9999 BKN070 23/22 Q1013 RMK A2991=",
"80222599999","2023-01-17T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02134,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SKSA 171100Z VRB02KT 9999 SCT070 22/21 Q1011 RMK A2985=",
"80222599999","2023-01-18T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","01829,1,C,N","009999,1,9,9","+0220,1","+0210,1","99999,9","07,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01829,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 181100Z VRB02KT 9999 BKN060 22/21 Q1012 RMK A2989=",
"80222599999","2023-01-18T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","290,1,N,0015,1","01524,1,C,N","009999,1,9,9","+0250,1","+0210,1","99999,9","08,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01524,1,99,9,99,9","10150,1,99999,9",,,,"MET061METAR SKSA 181400Z 29003KT 9999 OVC050 25/21 Q1015 RMK A2997=",
"80222599999","2023-01-18T15:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0015,1","01524,1,C,N","008000,1,9,9","+0250,1","+0210,1","99999,9","08,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01524,1,99,9,99,9","10150,1,99999,9","63,5",,,"MET074METAR SKSA 181500Z 33003KT 8000 VCRA OVC050 25/21 Q1015 RMK VCRA SW A2998=","D01      0ADE735"
"80222599999","2023-01-19T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0220,1","+0190,1","99999,9","02,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 191100Z 31003KT 9999 FEW080 22/19 Q1013 RMK A2992=",
"80222599999","2023-01-19T13:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","050,1,N,0021,1","02743,1,C,N","009999,1,9,9","+0230,1","+0200,1","99999,9","08,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,02743,1,99,9,99,9","10160,1,99999,9",,,,"MET061METAR SKSA 191300Z 05004KT 9999 OVC090 23/20 Q1016 RMK A3000=",
"80222599999","2023-01-20T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0210,1","+0160,1","99999,9","04,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 201100Z 31003KT 9999 SCT050 21/16 Q1013 RMK A2993=",
"80222599999","2023-01-20T13:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0015,1","02134,1,C,N","009999,1,9,9","+0220,1","+0180,1","99999,9","07,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02134,1,99,9,99,9","10160,1,99999,9",,,,"MET061METAR SKSA 201300Z 34003KT 9999 BKN070 22/18 Q1016 RMK A3000=",
"80222599999","2023-01-20T19:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","009999,1,9,9","+0290,1","+0190,1","99999,9","04,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02134,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 201900Z VRB02KT 9999 SCT070 29/19 Q1013 RMK A2992=",
"80222599999","2023-01-21T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0190,1","+0160,1","99999,9","04,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02438,1,99,9,99,9","10140,1,99999,9",,,,"MET061METAR SKSA 211100Z 31003KT 9999 SCT080 19/16 Q1014 RMK A2994=",
"80222599999","2023-01-21T23:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0250,1","+0110,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10100,1,99999,9",,,,"MET058METAR SKSA 212300Z 00000KT 9999 NSC 25/11 Q1010 RMK A2983=",
"80222599999","2023-01-22T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","270,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0260,1","+0180,1","99999,9","04,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02134,1,99,9,99,9","10170,1,99999,9",,,,"MET061METAR SKSA 221400Z 27003KT 9999 SCT070 26/18 Q1017 RMK A3001=",
"80222599999","2023-01-22T16:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0270,1","+0190,1","99999,9","04,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10150,1,99999,9",,,,"MET061METAR SKSA 221600Z 33003KT 9999 SCT050 27/19 Q1015 RMK A2998=",
"80222599999","2023-01-22T18:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0300,1","+0190,1","99999,9","04,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 221800Z 33005KT 9999 SCT050 30/19 Q1013 RMK A2992=",
"80222599999","2023-01-23T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0015,1","02134,1,C,N","009999,1,9,9","+0240,1","+0170,1","99999,9","08,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,02134,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 231100Z 33003KT 9999 OVC070 24/17 Q1013 RMK A2991=",
