"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OC1","OD1","REM","EQD"
"01042099999","2023-02-14T13:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","241,1,N,0217,1","99999,9,9,9","999999,9,9,9","+0026,1","+0025,1","99999,9","120,M,+0026,1","120,N,+0023,1","0300,1","9,99,0217,1,999","SYN004BUFR",
"01042099999","2023-02-14T14:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","244,1,N,0164,1","99999,9,9,9","999999,9,9,9","+0020,1","+0019,1","99999,9","120,M,+0026,1","120,N,+0020,1","0273,1","9,99,0223,1,999","SYN004BUFR",
"01042099999","2023-02-14T15:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","237,1,N,0211,1","99999,9,9,9","999999,9,9,9","+0022,1","+0021,1","99999,9","120,M,+0023,1","120,N,+0019,1","0249,1","9,99,0223,1,999","SYN004BUFR",
"01042099999","2023-02-14T16:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","234,1,N,0216,1","99999,9,9,9","999999,9,9,9","+0020,1","+0019,1","99999,9","120,M,+0022,1","120,N,+0020,1","0265,1","9,99,0216,1,999","SYN004BUFR",
"01042099999","2023-02-14T17:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","235,1,N,0208,1","99999,9,9,9","999999,9,9,9","+0020,1","+0018,1","99999,9","120,M,+0020,1","120,N,+0019,1","0261,1","9,99,0222,1,999","SYN004BUFR",
"01042099999","2023-02-14T18:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","237,1,N,0182,1","99999,9,9,9","999999,9,9,9","+0016,1","+0015,1","99999,9","120,M,+0029,1","120,N,-0008,1","0235,1","9,99,0223,1,999","SYN004BUFR",
"01042099999","2023-02-14T19:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","234,1,N,0178,1","99999,9,9,9","999999,9,9,9","+0020,1","+0016,1","99999,9","120,M,+0020,1","120,N,+0016,1","0225,1","9,99,0183,1,999","SYN004BUFR",
"01042099999","2023-02-15T11:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","231,1,N,0148,1","99999,9,9,9","999999,9,9,9","+0027,1","+0001,1","99999,9","120,M,+0029,1","120,N,+0019,1","0181,1","9,99,0156,1,999","SYN004BUFR",
"01042099999","2023-02-15T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","223,1,N,0143,1","99999,9,9,9","999999,9,9,9","+0031,1","-0009,1","99999,9","120,M,+0034,1","120,N,+0025,1","0181,1","9,99,0181,1,999","SYN004BUFR",
"01042099999","2023-02-20T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","116,1,N,0075,1","99999,9,9,9","999999,9,9,9","-0065,1","-0073,1","99999,9","120,M,-0060,1","120,N,-0065,1","0124,1","9,99,0172,1,999","SYN004BUFR",
"01042099999","2023-02-20T13:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","131,1,N,0073,1","99999,9,9,9","999999,9,9,9","-0069,1","-0077,1","99999,9","120,M,-0064,1","120,N,-0069,1","0100,1","9,99,0076,1,999","SYN004BUFR",
"01042099999","2023-02-21T13:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","314,1,N,0004,1","99999,9,9,9","999999,9,9,9","-0070,1","-0080,1","99999,9","120,M,-0069,1","120,N,-0081,1",,"9,99,0019,1,999","SYN004BUFR",
