"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","MA1","ME1","REM","EQD"
"41304099999","2023-08-15T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","100,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0369,1","+0154,1","10015,1",,,"240,N,+0247,1","99999,9,09725,1",,"SYN07641304 36/// /1001 10369 20154 39725 40015 333 0E023 20247 55300 21700 59013=",
"41304099999","2023-08-15T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0418,1","+0106,1","09991,1",,,,"99999,9,09706,1",,"SYN07041304 36/// /0306 10418 20106 39706 49991 333 0E023 55300 23370 59011=",
"41304099999","2023-08-15T12:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","090,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0423,1","+0094,1","09971,1",,,,"99999,9,09687,1",,"SYN07041304 36/// /0909 10423 20094 39687 49971 333 0E023 55300 22881 59011=",
"41304099999","2023-08-15T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","130,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0341,1","+0192,1","09989,1",,,,"99999,9,09698,1",,"SYN07041304 36/// /1311 10341 20192 39698 49989 333 0E027 55300 20823 59011=",
"41304099999","2023-08-15T18:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","120,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0306,1","+0202,1","10012,1",,,"120,M,+0433,1","99999,9,09717,1",,"SYN07641304 36/// /1206 10306 20202 39717 40012 333 0E031 10433 55300 20000 59008=",
"41304099999","2023-08-15T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0278,1","+0213,1","10008,1",,,,"99999,9,09711,1",,"SYN07041304 36/// /1202 10278 20213 39711 40008 333 0E028 55300 20000 59008=",
"41304099999","2023-08-16T00:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","070,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0238,1","+0225,1","10007,1",,,,"99999,9,09705,1",,"SYN07041304 36/// /0705 10238 20225 39705 40007 333 0E024 55300 20000 59001=",
"41304099999","2023-08-16T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0237,1","+0218,1","10016,1",,,,"99999,9,09714,1",,"SYN07041304 36/// /1502 10237 20218 39714 40016 333 0E023 55300 20000 59005=",
"41304099999","2023-08-16T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0321,1","+0212,1","10016,1",,,"240,N,+0230,1","99999,9,09722,1",,"SYN07641304 36/// /1202 10321 20212 39722 40016 333 0E023 20230 55300 21712 59003=",
"41304099999","2023-08-16T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0389,1","+0137,1","09995,1",,,,"99999,9,09707,1",,"SYN07041304 36/// /3204 10389 20137 39707 49995 333 0E023 55300 23356 58001=",
"41304099999","2023-08-16T12:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","120,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0378,1","+0213,1","09973,1",,,,"99999,9,09685,1",,"SYN07041304 36/// /1212 10378 20213 39685 49973 333 0E023 55300 22903 59001=",
"41304099999","2023-08-16T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0301,1","+0213,1","09994,1",,,,"99999,9,09699,1",,"SYN07041304 36/// /1515 10301 20213 39699 49994 333 0E025 55300 20923 58001=",
"41304099999","2023-08-16T18:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","130,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0263,1","+0217,1","10013,1",,,"120,M,+0409,1","99999,9,09714,1",,"SYN07641304 36/// /1307 10263 20217 39714 40013 333 0E027 10409 55300 20000 59003=",
"41304099999","2023-08-16T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","130,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0233,1","+0227,1","10013,1",,,,"99999,9,09711,1",,"SYN07041304 36/// /1305 10233 20227 39711 40013 333 0E024 55300 20000 58001=",
