"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43133099999","2023-08-04T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0262,1","+0197,1","10110,1",,,,,,,,,,"240,M,+0320,1","240,N,+0230,1","99999,9,09856,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10262 20197 39856 40110 333 10320 20230 58002 555 10201=",
"43133099999","2023-08-04T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0310,1","+0168,1","09930,1",,,,,,,,,,"240,M,+0345,1",,"99999,9,09674,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10310 20168 39674 49930 333 10345 58002=",
"43133099999","2023-08-05T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0163,1","10112,1",,,,,,,,,,"240,M,+0345,1","240,N,+0234,1","99999,9,09858,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10270 20163 39858 40112 333 10345 20234 58002 555 10201=",
"43133099999","2023-08-05T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0304,1","+0172,1","09932,1",,,,,,,,,,"240,M,+0340,1",,"99999,9,09676,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10304 20172 39676 49932 333 10340 58002=",
"43133099999","2023-08-06T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0280,1","+0187,1","10114,1",,,,,,,,,,"240,M,+0340,1","240,N,+0244,1","99999,9,09860,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10280 20187 39860 40114 333 10340 20244 58002 555 10201=",
"43133099999","2023-08-06T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0310,1","+0168,1","09934,1",,,,,,,,,,"240,M,+0350,1",,"99999,9,09678,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10310 20168 39678 49934 333 10350 58002=",
"43133099999","2023-08-07T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0284,1","+0184,1","10116,1",,,,,,,,,,"240,M,+0350,1","240,N,+0246,1","99999,9,09862,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10284 20184 39862 40116 333 10350 20246 58002 555 10201=",
"43133099999","2023-08-07T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0320,1","+0161,1","09936,1",,,,,,,,,,"240,M,+0360,1",,"99999,9,09680,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10320 20161 39680 49936 333 10360 58002=",
"43133099999","2023-08-08T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0290,1","+0181,1","10118,1",,,,,,,,,,"240,M,+0360,1","240,N,+0244,1","99999,9,09864,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10290 20181 39864 40118 333 10360 20244 58002 555 10201=",
"43133099999","2023-08-08T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0340,1","+0146,1","09938,1",,,,,,,,,,"240,M,+0380,1",,"99999,9,09682,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10340 20146 39682 49938 333 10380 58002=",
"43133099999","2023-08-09T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0280,1","+0187,1","10120,1",,,,,,,,,,"240,M,+0380,1","240,N,+0250,1","99999,9,09866,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10280 20187 39866 40120 333 10380 20250 58002 555 10201=",
"43133099999","2023-08-09T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0330,1","+0154,1","09940,1",,,,,,,,,,"240,M,+0375,1",,"99999,9,09684,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10330 20154 39684 49940 333 10375 58002=",
"43133099999","2023-08-10T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0175,1","10122,1",,,,,,,,,,"240,M,+0375,1","240,N,+0240,1","99999,9,09868,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10270 20175 39868 40122 333 10375 20240 58002 555 10201=",
"43133099999","2023-08-11T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0274,1","+0190,1","10124,1",,,,,,,,,,"240,M,+0385,1","240,N,+0248,1","99999,9,09870,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10274 20190 39870 40124 333 10385 20248 58002 555 10201=",
"43133099999","2023-08-11T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0344,1","+0143,1","09944,1",,,,,,,,,,"240,M,+0375,1",,"99999,9,09688,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10344 20143 39688 49944 333 10375 58002=",
"43133099999","2023-08-12T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0193,1","10126,1",,,,,,,,,,"240,M,+0375,1","240,N,+0240,1","99999,9,09872,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10270 20193 39872 40126 333 10375 20240 58002 555 10201=",
"43133099999","2023-08-12T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0290,1","+0181,1","09946,1",,,,,,,,,,"240,M,+0335,1",,"99999,9,09690,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10290 20181 39690 49946 333 10335 58002=",
