"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","OD2","REM","EQD"
"01259099999","2023-11-15T00:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0016,1","-0106,1","10110,1","120,M,-0014,1","120,N,-0018,1","99999,9,10087,1","2,1,008,1,+999,9",,"3,99,0100,1,999",,"SYN07601259 46/// /1107 11016 21106 30087 40110 52008 333 11014 21018 90710 91110=",
"01259099999","2023-11-15T01:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","090,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0023,1","-0108,1","10115,1","240,M,-0016,1","240,N,-0025,1","99999,9,10092,1","3,1,010,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /0903 11023 21108 30092 40115 53010 333 11016 21025 90710 91107=",
"01259099999","2023-11-15T02:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0035,1","-0119,1","10120,1","240,M,-0023,1","240,N,-0040,1","99999,9,10096,1","2,1,013,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /0702 11035 21119 30096 40120 52013 333 11023 21040 90710 91105=",
"01259099999","2023-11-15T03:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","040,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0038,1","-0120,1","10123,1","240,M,-0032,1","240,N,-0038,1","99999,9,10099,1","2,1,013,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0403 11038 21120 30099 40123 52013 333 11032 21038 90710 91104=",
"01259099999","2023-11-15T04:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0037,1","-0123,1","10125,1","240,M,-0035,1","240,N,-0041,1","99999,9,10101,1","2,1,009,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0702 11037 21123 30101 40125 52009 333 11035 21041 90710 91104=",
"01259099999","2023-11-15T05:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","090,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0029,1","-0118,1","10128,1","240,M,-0027,1","240,N,-0037,1","99999,9,10104,1","2,1,007,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0903 11029 21118 30104 40128 52007 333 11027 21037 90710 91104=",
"01259099999","2023-11-15T06:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0025,1","-0101,1","10129,1","240,M,+0001,1","240,N,-0041,1","99999,9,10105,1","2,1,006,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1105 11025 21101 30105 40129 52006 333 10001 21041 90710 91107=",
"01259099999","2023-11-15T07:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","090,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0026,1","-0113,1","10134,1","240,M,-0021,1","240,N,-0030,1","99999,9,10110,1","2,1,009,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /0902 11026 21113 30110 40134 52009 333 11021 21030 90710 91107=",
"01259099999","2023-11-15T08:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","100,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0032,1","-0107,1","10140,1","240,M,-0025,1","240,N,-0034,1","99999,9,10116,1","3,1,012,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1002 11032 21107 30116 40140 53012 333 11025 21034 90710 91104=",
"01259099999","2023-11-15T09:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0022,1","-0100,1","10142,1","240,M,-0020,1","240,N,-0032,1","99999,9,10118,1","1,1,012,1,+999,9",,"3,99,0060,1,999",,"SYN07601259 46/// /1102 11022 21100 30118 40142 51012 333 11020 21032 90710 91106=",
