"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"47553099999","2023-01-02T03:24:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","340,1,V,0031,1","00183,1,C,N","000800,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00183,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10180,1,99999,9","86,1",,,,"MET122SPECI RJSC 020324Z 34006KT 300V020 0800 R01/P2000N SHSN FEW003 SCT006 BKN010 M01/M02 Q1018 RMK 1ST003 4ST006 6ST010 A3006=",
"47553099999","2023-01-02T03:34:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","300,1,V,0041,1","00183,1,C,N","001300,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00183,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10170,1,99999,9","85,1",,,,"MET128SPECI RJSC 020334Z 30008KT 250V350 1300 R01/0900VP2000D -SHSN FEW003 SCT006 BKN010 M01/M02 Q1017 RMK 1ST003 4ST006 6ST010 A3005=",
"47553099999","2023-01-02T04:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","270,1,V,0041,1","00274,1,C,N","004000,1,9,9","+0000,1","-0020,1","99999,9",,"02,1,+00122,1,99,9","04,1,+00274,1,99,9","07,1,+00457,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10170,1,99999,9","85,1",,,,"MET112METAR RJSC 020400Z 27008KT 240V310 4000 -SHSN FEW004 SCT009 BKN015 M00/M02 Q1017 RMK 1ST004 4ST009 6CU015 A3005=",
"47553099999","2023-01-02T04:15:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","270,1,V,0041,1","00244,1,C,N","001600,1,9,9","+0000,1","-0020,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00244,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10170,1,99999,9","85,1",,,,"MET112SPECI RJSC 020415Z 27008KT 240V300 1600 -SHSN FEW003 SCT008 BKN010 M00/M02 Q1017 RMK 1ST003 4ST008 6ST010 A3005=",
"47553099999","2023-01-02T04:22:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","270,1,N,0046,1","00152,1,C,N","000900,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00152,1,99,9","07,1,+00183,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10170,1,99999,9","86,1",,,,"MET119SPECI RJSC 020422Z 27009KT 0900 R01/1200VP2000D SHSN FEW002 SCT005 BKN006 M01/M02 Q1017 RMK 1ST002 4ST005 6ST006 A3006=",
"47553099999","2023-01-02T04:32:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","300,1,V,0041,1","00122,1,C,N","000500,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00122,1,99,9","07,1,+00152,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10170,1,99999,9","86,1",,,,"MET126SPECI RJSC 020432Z 30008KT 270V360 0500 R01/0650V1400D SHSN FEW002 SCT004 BKN005 M01/M02 Q1017 RMK 1ST002 4ST004 6ST005 A3006=",
"47553099999","2023-01-02T04:36:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","320,1,V,0036,1","00122,1,C,N","000500,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00122,1,99,9","07,1,+00152,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10170,1,99999,9","86,1",,,,"MET126SPECI RJSC 020436Z 32007KT 270V360 0500 R01/0500V1400D SHSN FEW002 SCT004 BKN005 M01/M02 Q1017 RMK 1ST002 4ST004 6ST005 A3006=",
"47553099999","2023-01-02T04:41:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","330,1,V,0026,1","00122,1,C,N","000500,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00122,1,99,9","07,1,+00152,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10180,1,99999,9","86,1",,,,"MET126SPECI RJSC 020441Z 33005KT 270V360 0500 R01/0500V1100U SHSN FEW002 SCT004 BKN005 M01/M02 Q1018 RMK 1ST002 4ST004 6ST005 A3006=",
"47553099999","2023-01-02T05:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","340,1,V,0021,1","00183,1,C,N","002000,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00183,1,99,9","07,1,+00213,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET128METAR RJSC 020500Z 34004KT 280V080 2000 R01/1400VP2000U -SHSN FEW002 SCT006 BKN007 M01/M02 Q1018 RMK 1ST002 4ST006 6ST007 A3006=",
"47553099999","2023-01-02T05:05:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","350,1,V,0031,1","00213,1,C,N","005000,1,9,9","-0010,1","-0020,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00213,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET112SPECI RJSC 020505Z 35006KT 310V020 5000 -SHSN FEW003 SCT007 BKN008 M01/M02 Q1018 RMK 1ST003 4ST007 6ST008 A3006=",
