"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42860099999","2023-01-18T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0234,1","+0123,1","10106,1",,,,,,,,"240,M,+0262,1","99999,9,09383,1","9,9,999,9,+022,1",,"SYN05842860 32997 00501 10234 20123 39383 40106 333 10262 58022=",
"42860099999","2023-01-19T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","090,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0128,1","+0110,1","10175,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0100,1","99999,9,09421,1","9,9,999,9,+004,1","42,1","SYN07442860 31996 00901 10128 20110 39421 40175 74243 333 20100 58004 555 10000=",
"42860099999","2023-01-19T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0254,1","+0111,1","10103,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,M,+0275,1","99999,9,09385,1","9,9,999,9,+002,1",,"SYN06442860 32696 80501 10254 20111 39385 40103 887// 333 10275 58002=",
"42860099999","2023-01-20T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0170,1","+0143,1","10148,1",,,,"04,1,+99999,9,02,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,N,+0132,1","99999,9,09408,1","9,9,999,9,-013,1",,"SYN07442860 32996 41401 10170 20143 39408 40148 84005 333 20132 59013 555 10000=",
"42860099999","2023-01-20T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0264,1","+0121,1","10090,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0275,1","99999,9,09376,1","9,9,999,9,-009,1",,"SYN06442860 32996 41401 10264 20121 39376 40090 82065 333 10275 59009=",
"42860099999","2023-01-21T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0164,1","+0144,1","10149,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,N,+0142,1","99999,9,09407,1","9,9,999,9,-001,1",,"SYN07442860 32996 61401 10164 20144 39407 40149 84065 333 20142 59001 555 10000=",
"42860099999","2023-01-21T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0266,1","+0119,1","10083,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0282,1","99999,9,09369,1","9,9,999,9,-007,1",,"SYN06442860 32996 61401 10266 20119 39369 40083 84065 333 10282 59007=",
"42860099999","2023-01-22T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0162,1","+0152,1","10136,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,N,+0150,1","99999,9,09395,1","9,9,999,9,-012,1",,"SYN07442860 32696 82301 10162 20152 39395 40136 887// 333 20150 59012 555 10000=",
"42860099999","2023-01-22T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0258,1","+0117,1","10082,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0277,1","99999,9,09366,1","9,9,999,9,-009,1",,"SYN06442860 32996 61401 10258 20117 39366 40082 84065 333 10277 59009=",
"42860099999","2023-01-23T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0178,1","+0155,1","10129,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,N,+0152,1","99999,9,09391,1","9,9,999,9,-004,1",,"SYN07442860 32996 61401 10178 20155 39391 40129 84065 333 20152 59004 555 10000=",
"42860099999","2023-01-23T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0256,1","+0147,1","10073,1",,,,"04,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0267,1","99999,9,09358,1","9,9,999,9,-008,1",,"SYN06442860 32996 60501 10256 20147 39358 40073 84065 333 10267 59008=",
"42860099999","2023-01-24T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0170,1","+0154,1","10127,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,N,+0150,1","99999,9,09389,1","9,9,999,9,-002,1",,"SYN07442860 32996 41401 10170 20154 39389 40127 82065 333 20150 59002 555 10000=",
"42860099999","2023-01-24T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0264,1","+0133,1","10070,1",,,,"02,1,+99999,9,03,1","99,9,+99999,9,02,1","9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0280,1","99999,9,09358,1","9,9,999,9,+000,1",,"SYN06442860 32996 41401 10264 20133 39358 40070 82065 333 10280 58000=",
