"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AW1","AZ1","AZ2","IA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"11051099999","2023-01-03T02:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","240,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0067,1","+0048,1","10282,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09803,1","3,1,011,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T03:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0076,1","+0048,1","10283,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09805,1","3,1,010,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T04:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0030,1","99999,9,9,9","999999,9,9,9","+0080,1","+0049,1","10286,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09809,1","3,1,010,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T05:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","240,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0078,1","+0050,1","10290,1","01,0000,2,1",,,,,,,"99999,9,09812,1","3,1,009,1,+999,9",,,"SYN06411051 25/// /2402 10078 20050 39812 40290 53009 333 55300 69905=",
"11051099999","2023-01-03T06:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","240,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0072,1","+0052,1","10295,1","99,9999,9,9","40,1",,,"999,+0010,9","120,M,+0085,1","120,N,+0029,1","99999,9,09816,1","3,1,011,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T07:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0067,1","+0058,1","10300,1","99,0004,3,1","21,1","4,1,99,9","4,1,99,9",,,,"99999,9,09820,1","3,1,011,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T08:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0067,1","+0060,1","10304,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09824,1","3,1,012,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T09:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0070,1","+0062,1","10307,1","99,0004,3,1",,"4,1,99,9",,,,,"99999,9,09827,1","3,1,011,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T10:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","260,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0075,1","+0062,1","10311,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09832,1","3,1,012,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T11:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0077,1","+0063,1","10307,1","99,9999,9,9","21,1",,,,,,"99999,9,09829,1","2,1,005,1,+999,9",,,"SYN004BUFR",
