"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM"
"47852099999","2023-01-03T10:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0060,1","-0030,1","99999,9",,,,,,,,"10240,1,99999,9",,,,,"MET056METAR RJFO 031000Z 32005KT CAVOK 06/M03 Q1024 RMK A3026="
"47852099999","2023-01-03T11:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","230,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0050,1","-0030,1","99999,9",,,,,,,,"10250,1,99999,9",,,,,"MET056METAR RJFO 031100Z 23002KT CAVOK 05/M03 Q1025 RMK A3027="
"47852099999","2023-01-03T12:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","009999,1,9,9","+0040,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10250,1,99999,9",,,,,"MET069METAR RJFO 031200Z VRB02KT 9999 FEW040 04/M03 Q1025 RMK 1CU040 A3028="
"47852099999","2023-01-03T13:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0010,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10250,1,99999,9",,,,,"MET069METAR RJFO 031300Z 25004KT 9999 FEW040 01/M03 Q1025 RMK 1CU040 A3029="
"47852099999","2023-01-03T22:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","260,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0050,1","-0030,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10260,1,99999,9",,,,,"MET069METAR RJFO 032200Z 26005KT 9999 FEW035 05/M03 Q1026 RMK 1CU035 A3031="
"47852099999","2023-01-03T23:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,V,0015,1","99999,9,9,N","009999,1,9,9","+0040,1","-0030,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10260,1,99999,9",,,,,"MET077METAR RJFO 032300Z 25003KT 210V280 9999 FEW035 04/M03 Q1026 RMK 1CU035 A3032="
"47852099999","2023-01-04T00:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","240,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0060,1","-0010,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET069METAR RJFO 040000Z 24004KT 9999 FEW035 06/M01 Q1027 RMK 1CU035 A3034="
"47852099999","2023-01-04T01:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,V,0046,1","01219,1,C,N","009999,1,9,9","+0080,1","-0030,1","99999,9",,"02,1,+01067,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET091METAR RJFO 040100Z 30009KT 260V330 9999 FEW035 SCT040 08/M03 Q1027 RMK 1CU035 3CU040 A3034="
"47852099999","2023-01-04T02:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","280,1,V,0067,1","01372,1,C,N","009999,1,9,9","+0090,1","-0030,1","99999,9",,"02,1,+01067,1,99,9","04,1,+01372,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET091METAR RJFO 040200Z 28013KT 260V320 9999 FEW035 SCT045 09/M03 Q1027 RMK 1CU035 3CU045 A3033="
"47852099999","2023-01-04T03:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","310,1,V,0051,1","99999,9,9,N","009999,1,9,9","+0090,1","-0030,1","99999,9",,"02,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01372,1,99,9,99,9","10260,1,99999,9",,,,"0103,1","MET080METAR RJFO 040300Z 31010G20KT 260V350 9999 FEW045 09/M03 Q1026 RMK 2CU045 A3031="
"47852099999","2023-01-04T04:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","310,1,V,0077,1","99999,9,9,N","009999,1,9,9","+0090,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10260,1,99999,9",,,,,"MET077METAR RJFO 040400Z 31015KT 280V340 9999 FEW040 09/M03 Q1026 RMK 1CU040 A3030="
"47852099999","2023-01-04T05:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0062,1","99999,9,9,N","009999,1,9,9","+0100,1","-0040,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 040500Z 32012KT 270V010 9999 FEW035 10/M04 Q1025 RMK 1CU035 A3029="
"47852099999","2023-01-04T06:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,V,0051,1","99999,9,9,N","009999,1,9,9","+0090,1","-0040,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10260,1,99999,9",,,,,"MET077METAR RJFO 040600Z 30010KT 260V340 9999 FEW035 09/M04 Q1026 RMK 1CU035 A3030="
"47852099999","2023-01-04T07:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","330,1,N,0072,1","99999,9,9,N","009999,1,9,9","+0090,1","-0040,1","99999,9",,"02,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10260,1,99999,9",,,,,"MET069METAR RJFO 040700Z 33014KT 9999 FEW030 09/M04 Q1026 RMK 1CU030 A3031="
