"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","OD2","REM","EQD"
"33301099999","2023-01-05T21:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","280,1,N,0080,1","99999,9,9,N","010000,1,9,9","+0048,1","+0038,1","10055,1",,,"8,1,02,1","2,1,02,1",,,"06,1,+00450,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00450,1,99,9,99,9",,,"99999,9,09775,1","3,1,012,1,+999,9","80,1",,,"SYN07033301 41460 82808 10048 20038 39775 40055 53012 78082 8635/ 555 1/004=",
"33301099999","2023-01-06T03:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","360,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0022,1","+0015,1","10116,1",,,"8,1,02,1","2,1,02,1",,,"08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9",,,"99999,9,09831,1","3,1,036,1,+999,9","80,1",,,"SYN07033301 41560 83607 10022 20015 39831 40116 53036 78082 883// 555 1/003=",
"33301099999","2023-01-06T06:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","340,1,N,0050,1","99999,9,9,N","010000,1,9,9","-0009,1","-0017,1","10178,1","12,0050,3,1","0001,3,1,000050,9,9","8,1,02,1","2,1,02,1",,,"08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9","23,9","240,N,-0009,1","99999,9,09888,1","2,1,057,1,+999,9","85,1",,,"SYN09233301 11560 83405 11009 21017 39888 40178 52057 60052 78582 883// 333 21009 47997 555 17000=",
"33301099999","2023-01-06T09:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","340,1,N,0050,1","99999,9,9,N","010000,1,9,9","-0010,1","-0027,1","10212,1",,,"8,1,02,1","2,1,02,1",,,"05,1,+00450,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00450,1,99,9,99,9",,,"99999,9,09921,1","2,1,033,1,+999,9","02,1",,,"SYN07033301 41460 83405 11010 21027 39921 40212 52033 70282 8555/ 555 1/100=",
"33301099999","2023-01-06T15:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","320,1,N,0030,1","99999,9,9,N","010000,1,9,9","-0022,1","-0050,1","10236,1",,,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09943,1","2,1,012,1,+999,9",,,,"SYN06433301 42560 83203 11022 21050 39943 40236 52012 8455/ 555 1/101=",
"33301099999","2023-01-06T18:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","030,1,N,0020,1","99999,9,9,N","010000,1,9,9","-0028,1","-0056,1","10239,1","12,0004,3,1",,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9",,"120,M,-0009,1","99999,9,09945,1","1,1,002,1,+999,9",,,,"SYN08033301 12560 80302 11028 21056 39945 40239 51002 69942 8355/ 333 11009 555 1/101=",
"33301099999","2023-01-06T21:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","110,1,N,0020,1","99999,9,9,N","010000,1,9,9","-0036,1","-0058,1","10240,1",,,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09946,1","2,1,001,1,+999,9",,,,"SYN06433301 42560 81102 11036 21058 39946 40240 52001 8455/ 555 1/102=",
"33301099999","2023-01-07T00:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","100,1,N,0040,1","99999,9,9,N","010000,1,9,9","-0035,1","-0060,1","10237,1",,,,,,,"05,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00800,1,99,9,99,9",,,"99999,9,09943,1","8,1,003,1,+999,9",,,,"SYN06433301 32560 81004 11035 21060 39943 40237 58003 8555/ 555 1/102=",
"33301099999","2023-01-07T03:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","110,1,N,0040,1","99999,9,9,N","005000,1,9,9","-0041,1","-0046,1","10231,1",,,"8,1,02,1","2,1,02,1",,,"08,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00800,1,99,9,99,9",,,"99999,9,09936,1","8,1,007,1,+999,9","85,1",,,"SYN07033301 41550 81104 11041 21046 39936 40231 58007 78582 883// 555 1/102=",
"33301099999","2023-01-07T06:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","110,1,N,0050,1","99999,9,9,N","010000,1,9,9","-0043,1","-0048,1","10235,1","12,0020,3,1","0002,3,1,000200,9,9","8,1,02,1","2,1,02,1",,,"08,1,+00450,1,06,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9","23,9","240,N,-0043,1","99999,9,09940,1","3,1,004,1,+999,9","02,1",,,"SYN09233301 11460 81105 11043 21048 39940 40235 53004 60022 70282 885// 333 21043 47002 555 17102=",
