"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99400899999","2023-06-10T05:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0272,1","+0230,1","10114,1","1,1,005,1,+999,9","5,99,0021,1,999","SYN058FHPF1 46/// /3003 10272 20230 40114 51005 90500 333 91204="
"99400899999","2023-06-10T06:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0272,1","+0232,1","10112,1","7,1,003,1,+999,9","5,99,0046,1,999","SYN058FHPF1 46/// /3107 10272 20232 40112 57003 90600 333 91209="
"99400899999","2023-06-10T07:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0271,1","+0232,1","10108,1","8,1,007,1,+999,9","5,99,0041,1,999","SYN058FHPF1 46/// /3005 10271 20232 40108 58007 90700 333 91208="
"99400899999","2023-06-10T08:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0270,1","+0229,1","10108,1","7,1,006,1,+999,9","5,99,0041,1,999","SYN058FHPF1 46/// /3006 10270 20229 40108 57006 90800 333 91208="
"99400899999","2023-06-10T09:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0272,1","+0229,1","10110,1","5,1,000,1,+999,9","5,99,0036,1,999","SYN058FHPF1 46/// /3106 10272 20229 40110 55000 90900 333 91207="
"99400899999","2023-06-10T10:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0271,1","+0233,1","10115,1","3,1,007,1,+999,9","5,99,0041,1,999","SYN058FHPF1 46/// /3206 10271 20233 40115 53007 91000 333 91208="
"99400899999","2023-06-10T11:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","330,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0272,1","+0231,1","10119,1","3,1,011,1,+999,9","5,99,0026,1,999","SYN058FHPF1 46/// /3303 10272 20231 40119 53011 91100 333 91205="
"99400899999","2023-06-10T12:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0276,1","+0235,1","10122,1","1,1,012,1,+999,9","5,99,0026,1,999","SYN058FHPF1 46/// /3304 10276 20235 40122 51012 91200 333 91205="
"99400899999","2023-06-10T13:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0281,1","+0233,1","10125,1","3,1,010,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /0804 10281 20233 40125 53010 91300 333 91206="
"99400899999","2023-06-10T14:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","250,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0277,1","+0234,1","10126,1","1,1,008,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /2503 10277 20234 40126 51008 91400 333 91206="
"99400899999","2023-06-10T15:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0282,1","+0236,1","10127,1","1,1,005,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /2905 10282 20236 40127 51005 91500 333 91206="
"99400899999","2023-06-10T16:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0282,1","+0235,1","10129,1","2,1,003,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /2807 10282 20235 40129 52003 91600 333 91210="
"99400899999","2023-06-10T17:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0289,1","+0233,1","10126,1","9,9,000,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /2908 10289 20233 40126 50000 91700 333 91210="
"99400899999","2023-06-10T18:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0295,1","+0233,1","10124,1","8,1,003,1,+999,9","5,99,0057,1,999","SYN058FHPF1 46/// /2909 10295 20233 40124 58003 91800 333 91211="
"99400899999","2023-06-10T19:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0289,1","+0230,1","10123,1","6,1,006,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /2708 10289 20230 40123 56006 91900 333 91210="
"99400899999","2023-06-10T20:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0296,1","+0233,1","10119,1","8,1,008,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /3008 10296 20233 40119 58008 92000 333 91210="
"99400899999","2023-06-10T21:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0302,1","+0234,1","10118,1","7,1,006,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3109 10302 20234 40118 57006 92100 333 91212="
"99400899999","2023-06-10T22:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0298,1","+0226,1","10113,1","8,1,009,1,+999,9","5,99,0072,1,999","SYN058FHPF1 46/// /3210 10298 20226 40113 58009 92200 333 91214="
"99400899999","2023-06-10T23:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0295,1","+0228,1","10116,1","5,1,003,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3209 10295 20228 40116 55003 92300 333 91212="
"99400899999","2023-06-11T00:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0291,1","+0231,1","10117,1","5,1,000,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /3208 10291 20231 40117 55000 90000 333 91210="
"99400899999","2023-06-11T01:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","330,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0286,1","+0224,1","10127,1","3,1,013,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /3305 10286 20224 40127 53013 90100 333 91206="
"99400899999","2023-06-11T02:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0282,1","+0227,1","10131,1","3,1,015,1,+999,9","5,99,0015,1,999","SYN058FHPF1 46/// /2802 10282 20227 40131 53015 90200 333 91203="
"99400899999","2023-06-11T03:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0283,1","+0229,1","10135,1","1,1,019,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /3503 10283 20229 40135 51019 90300 333 91206="
"99400899999","2023-06-11T04:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0282,1","+0229,1","10137,1",,"5,99,0021,1,999","SYN052FHPF1 46/// /0103 10282 20229 40137 90336 333 91204="
"99400899999","2023-06-11T05:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0280,1","+0232,1","10133,1","2,1,003,1,+999,9","5,99,0041,1,999","SYN058FHPF1 46/// /3106 10280 20232 40133 52003 90500 333 91208="
"99400899999","2023-06-11T06:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","020,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0276,1","+0240,1","10127,1","7,1,009,1,+999,9","5,99,0015,1,999","SYN058FHPF1 46/// /0202 10276 20240 40127 57009 90600 333 91203="
"99400899999","2023-06-11T07:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0277,1","+0235,1","10124,1",,"5,99,0041,1,999","SYN052FHPF1 46/// /3106 10277 20235 40124 90636 333 91208="
"99400899999","2023-06-11T08:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0274,1","+0234,1","10121,1","6,1,013,1,+999,9","5,99,0026,1,999","SYN058FHPF1 46/// /3004 10274 20234 40121 56013 90800 333 91205="
"99400899999","2023-06-11T09:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0275,1","+0231,1","10127,1","5,1,000,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /2805 10275 20231 40127 55000 90900 333 91206="
"99400899999","2023-06-11T10:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0274,1","+0229,1","10130,1","3,1,007,1,+999,9","5,99,0031,1,999","SYN058FHPF1 46/// /2905 10274 20229 40130 53007 91000 333 91206="
"99400899999","2023-06-11T11:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","270,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0275,1","+0228,1","10131,1","1,1,010,1,+999,9","5,99,0021,1,999","SYN058FHPF1 46/// /2703 10275 20228 40131 51010 91100 333 91204="
"99400899999","2023-06-11T12:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0278,1","+0228,1","10133,1","1,1,006,1,+999,9","5,99,0021,1,999","SYN058FHPF1 46/// /2802 10278 20228 40133 51006 91200 333 91204="
