"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"78256199999","2023-01-02T20:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0077,1","99999,9,9,N","009000,1,9,9","+0270,1","+0210,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 022050Z 06015KT 9000 SCT020 27/21 Q1018=",
"78256199999","2023-01-02T21:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0072,1","99999,9,9,N","009000,1,9,9","+0270,1","+0210,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 022150Z 06014KT 9000 SCT020 27/21 Q1018=",
"78256199999","2023-01-02T22:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 022250Z 07011KT 9000 SCT020 25/21 Q1019=",
"78256199999","2023-01-02T23:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 022350Z 07012KT 9000 FEW020 25/21 Q1019=",
"78256199999","2023-01-03T00:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 030050Z 07011KT 9000 FEW020 25/21 Q1020=",
"78256199999","2023-01-03T01:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 030150Z 08010KT 9000 FEW020 25/22 Q1020=",
"78256199999","2023-01-03T02:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 030250Z 07011KT 9000 FEW020 25/22 Q1020=",
"78256199999","2023-01-03T03:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0046,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 030350Z 08009KT 9000 FEW020 25/22 Q1020=",
"78256199999","2023-01-03T04:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 030450Z 08011KT 9000 SCT020 25/22 Q1020=",
"78256199999","2023-01-03T05:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 030550Z 08008KT 9000 FEW020 25/22 Q1019=",
"78256199999","2023-01-03T06:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 030650Z 09008KT 9000 FEW020 25/22 Q1019=",
"78256199999","2023-01-03T07:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0036,1","22000,1,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,,"MET048METAR MUCC 030750Z 09007KT 9000 NSC 25/22 Q1018=",
"78256199999","2023-01-03T08:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 030850Z 09008KT 9000 FEW020 25/22 Q1018=",
"78256199999","2023-01-03T09:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 030950Z 09008KT 9000 FEW020 25/21 Q1019=",
"78256199999","2023-01-03T10:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0036,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 031050Z 09007KT 9000 FEW018 25/21 Q1019=",
"78256199999","2023-01-03T11:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","090,1,N,0036,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 031150Z 09007KT 9000 FEW018 25/21 Q1020=",
