"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","REM","EQD"
"89272099999","2023-05-18T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0245,1","-0274,1","09600,1","99999,9,07909,1","7,1,007,1,+999,9","SYN05489272 46/// /0513 11245 21274 37909 49600 57007 91800=",
"89272099999","2023-05-18T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0247,1","-0276,1","09596,1","99999,9,07905,1","7,1,004,1,+999,9","SYN05489272 46/// /0512 11247 21276 37905 49596 57004 92100=",
"89272099999","2023-05-19T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0253,1","-0283,1","09597,1","99999,9,07902,1","7,1,003,1,+999,9","SYN05489272 46/// /0512 11253 21283 37902 49597 57003 90000=",
"89272099999","2023-05-19T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0256,1","-0287,1","09596,1","99999,9,07900,1","7,1,002,1,+999,9","SYN05489272 46/// /0513 11256 21287 37900 49596 57002 90300=",
"89272099999","2023-05-19T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0246,1","-0275,1","09589,1","99999,9,07900,1","4,1,000,1,+999,9","SYN05489272 46/// /0512 11246 21275 37900 49589 54000 90600=",
"89272099999","2023-05-19T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0233,1","-0260,1","09585,1","99999,9,07904,1","2,1,004,1,+999,9","SYN05489272 46/// /0414 11233 21260 37904 49585 52004 90900=",
"89272099999","2023-05-19T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0236,1","-0263,1","09596,1","99999,9,07911,1","2,1,007,1,+999,9","SYN05489272 46/// /0413 11236 21263 37911 49596 52007 91200=",
"89272099999","2023-05-19T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0266,1","-0299,1","09621,1","99999,9,07915,1","2,1,004,1,+999,9","SYN05489272 46/// /0413 11266 21299 37915 49621 52004 91500=",
"89272099999","2023-05-19T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0255,1","-0286,1","09621,1","99999,9,07921,1","2,1,006,1,+999,9","SYN05489272 46/// /0213 11255 21286 37921 49621 52006 91800=",
"89272099999","2023-05-19T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0205,1","-0227,1","09601,1","99999,9,07932,1","2,1,011,1,+999,9","SYN05489272 46/// /0212 11205 21227 37932 49601 52011 92100=",
"89272099999","2023-05-20T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0197,1","-0217,1","09610,1","99999,9,07944,1","2,1,012,1,+999,9","SYN05489272 46/// /0113 11197 21217 37944 49610 52012 90000=",
"89272099999","2023-05-20T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0181,1","-0199,1","09612,1","99999,9,07954,1","2,1,010,1,+999,9","SYN05489272 46/// /3614 11181 21199 37954 49612 52010 90300=",
"89272099999","2023-05-20T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0179,1","-0196,1","09625,1","99999,9,07966,1","2,1,012,1,+999,9","SYN05489272 46/// /3613 11179 21196 37966 49625 52012 90600=",
"89272099999","2023-05-20T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0184,1","-0202,1","09638,1","99999,9,07974,1","2,1,008,1,+999,9","SYN05489272 46/// /3618 11184 21202 37974 49638 52008 90900=",
"89272099999","2023-05-20T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0196,1","-0216,1","09653,1","99999,9,07980,1","2,1,006,1,+999,9","SYN05489272 46/// /3620 11196 21216 37980 49653 52006 91200=",
"89272099999","2023-05-20T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0187,1","-0206,1","09661,1","99999,9,07992,1","2,1,012,1,+999,9","SYN05489272 46/// /0118 11187 21206 37992 49661 52012 91500=",
"89272099999","2023-05-20T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","030,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0203,1","-0224,1","09678,1","99999,9,07997,1","2,1,005,1,+999,9","SYN05489272 46/// /0316 11203 21224 37997 49678 52005 91800=",
"89272099999","2023-05-20T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0211,1","-0234,1","09668,1","99999,9,07984,1","7,1,013,1,+999,9","SYN05489272 46/// /0418 11211 21234 37984 49668 57013 92100=",
"89272099999","2023-05-21T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","030,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0171,1","-0187,1","09621,1","99999,9,07967,1","7,1,017,1,+999,9","SYN05489272 46/// /0319 11171 21187 37967 49621 57017 90000=",
