"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM","EQD"
"99729099999","2023-07-15T11:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","340,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10135,1","3,1,008,1,+999,9","5,99,0015,1,999","+248,1","SYN080BRHC3 46/// /3402 10235 40135 53008 91100 222// 00248 333 91203 555 11002 22002=",
"99729099999","2023-07-15T12:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0248,1","+9999,9","10138,1","1,1,012,1,+999,9","5,99,0021,1,999","+246,1","SYN080BRHC3 46/// /1202 10248 40138 51012 91200 222// 00246 333 91204 555 11002 22002=",
"99729099999","2023-07-15T13:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","170,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0252,1","+9999,9","10142,1","1,1,012,1,+999,9","5,99,0026,1,999","+243,1","SYN080BRHC3 46/// /1705 10252 40142 51012 91300 222// 00243 333 91205 555 11005 22005=",
"99729099999","2023-07-15T14:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0248,1","+9999,9","10144,1","1,1,009,1,+999,9","5,99,0021,1,999","+242,1","SYN080BRHC3 46/// /1602 10248 40144 51009 91400 222// 00242 333 91204 555 11002 22002=",
"99729099999","2023-07-15T15:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0250,1","+9999,9","10146,1","1,1,008,1,+999,9","5,99,0031,1,999","+244,1","SYN080BRHC3 46/// /1605 10250 40146 51008 91500 222// 00244 333 91206 555 11006 22006=",
"99729099999","2023-07-15T16:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0267,1","+9999,9","10143,1","9,9,000,1,+999,9",,"+243,1","SYN054BRHC3 46/// ///// 10267 40143 50000 91600 222// 00243=",
"99729099999","2023-07-15T17:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","140,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0269,1","+9999,9","10140,1","8,1,004,1,+999,9","5,99,0041,1,999","+245,1","SYN080BRHC3 46/// /1407 10269 40140 58004 91700 222// 00245 333 91208 555 11007 22008=",
"99729099999","2023-07-15T18:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0274,1","+9999,9","10136,1","8,1,010,1,+999,9","5,99,0046,1,999","+250,1","SYN080BRHC3 46/// /1608 10274 40136 58010 91800 222// 00250 333 91209 555 11008 22009=",
"99729099999","2023-07-15T19:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0277,1","+9999,9","10135,1","6,1,008,1,+999,9","5,99,0051,1,999","+253,1","SYN080BRHC3 46/// /1509 10277 40135 56008 91900 222// 00253 333 91210 555 11009 22010=",
"99729099999","2023-07-15T20:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","140,1,N,0051,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10132,1","6,1,008,1,+999,9","5,99,0062,1,999","+255,1","SYN080BRHC3 46/// /1410 1//// 40132 56008 92000 222// 00255 333 91212 555 11010 22011=",
